image,experiment,source,source_param,channel_code,channel_param,channel,channel_p,psnr_db,mse,accuracy_exact,accuracy_tol5,ber_raw,ber_decoded,n_info_bits,n_tx_bits,code_rate,compression_ratio,encode_ms,decode_ms
checkerboard,rd_dct,dct,5,none,3,bsc,0.0,32.81601443825655,34.0,0.0,0.5,0.0,0.0,65572,65572,1.0,1.9989019703531996,5.722099999729835,5.238500000359636
checkerboard,rd_dct,dct,10,none,3,bsc,0.0,42.11020369539948,4.0,0.0,1.0,0.0,0.0,81956,81956,1.0,1.5992971838547514,5.571799999870564,8.25459999987288
checkerboard,rd_dct,dct,20,none,3,bsc,0.0,42.11020369539948,4.0,0.0,1.0,0.0,0.0,98340,98340,1.0,1.332845230831808,8.030499999676977,6.990600000335689
checkerboard,rd_dct,dct,30,none,3,bsc,0.0,51.141103565318915,0.5,0.5,1.0,0.0,0.0,98340,98340,1.0,1.332845230831808,5.099499999687396,5.030499999975291
checkerboard,rd_dct,dct,50,none,3,bsc,0.0,inf,0.0,1.0,1.0,0.0,0.0,114724,114724,1.0,1.1424985181827692,4.5629000001099485,6.249900000057096
checkerboard,rd_dct,dct,70,none,3,bsc,0.0,51.141103565318915,0.5,0.5,1.0,0.0,0.0,131108,131108,1.0,0.9997254172132898,7.565100000192615,6.190000000060536
checkerboard,rd_dct,dct,85,none,3,bsc,0.0,inf,0.0,1.0,1.0,0.0,0.0,147492,147492,1.0,0.8886719279689745,6.932200000392186,6.6063999997822975
checkerboard,rd_dct,dct,95,none,3,bsc,0.0,inf,0.0,1.0,1.0,0.0,0.0,163876,163876,1.0,0.799824257365325,7.234499999867694,5.989199999930861
checkerboard,rd_quantize,quantize,1,none,3,bsc,0.0,18.263086266016654,970.0,0.0,0.0,0.0,0.0,16416,16416,1.0,7.984405458089668,0.33699999994496466,0.23590000000695
checkerboard,rd_quantize,quantize,2,none,3,bsc,0.0,38.1308036086791,10.0,0.0,1.0,0.0,0.0,32800,32800,1.0,3.9960975609756098,0.8437000001322303,0.6408999997802312
checkerboard,rd_quantize,quantize,3,none,3,bsc,0.0,25.826314394896364,170.0,0.0,0.0,0.0,0.0,49184,49184,1.0,2.664931685100846,1.0298000001967011,0.7585999996990722
checkerboard,rd_quantize,quantize,4,none,3,bsc,0.0,33.98107012897092,26.0,0.0,0.5,0.0,0.0,65568,65568,1.0,1.9990239141044412,0.8407000000261178,0.50809999993362
checkerboard,rd_quantize,quantize,5,none,3,bsc,0.0,45.12050365203929,2.0,0.5,1.0,0.0,0.0,81952,81952,1.0,1.5993752440452949,1.0945999997602485,0.7465999997293693
checkerboard,rd_quantize,quantize,6,none,3,bsc,0.0,45.12050365203929,2.0,0.5,1.0,0.0,0.0,98336,98336,1.0,1.332899446794663,1.1261999998168903,0.6834000000708329
checkerboard,rd_quantize,quantize,8,none,3,bsc,0.0,inf,0.0,1.0,1.0,0.0,0.0,131104,131104,1.0,0.9997559189650964,1.6906999999264372,1.6170999997484614
checkerboard,bsc_sweep,dct,60,none,1,bsc,0.0,48.1308036086791,1.0,0.0,1.0,0.0,0.0,114724,114724,1.0,1.1424985181827692,7.32190000007904,5.697200000213343
checkerboard,bsc_sweep,dct,60,none,1,bsc,0.001,15.051384600053693,2032.0851440429688,0.00347900390625,0.71002197265625,0.0009065234824448241,0.0009065234824448241,114724,114724,1.0,1.1424985181827692,9.439699999802542,5.536699999993289
checkerboard,bsc_sweep,dct,60,none,1,bsc,0.003,10.672760130624221,5569.347900390625,0.00518798828125,0.07525634765625,0.0027544367351208117,0.0027544367351208117,114724,114724,1.0,1.1424985181827692,5.736900000101741,7.0019999998294224
checkerboard,bsc_sweep,dct,60,none,1,bsc,0.01,6.837861985489636,13467.722595214844,0.002685546875,0.03192138671875,0.010041490882465745,0.010041490882465745,114724,114724,1.0,1.1424985181827692,7.22280000036335,6.658499999957712
checkerboard,bsc_sweep,dct,60,none,1,bsc,0.03,4.826174255801109,21402.422607421875,0.001220703125,0.012939453125,0.029732226909800912,0.029732226909800912,114724,114724,1.0,1.1424985181827692,7.511700000122801,5.225399999744695
checkerboard,bsc_sweep,dct,60,none,1,bsc,0.1,5.549041701919776,18120.750915527344,0.00177001953125,0.0247802734375,0.10162651232523273,0.10162651232523273,114724,114724,1.0,1.1424985181827692,4.634399999758898,33.857500000067375
checkerboard,bsc_sweep,dct,60,repetition,3,bsc,0.0,48.1308036086791,1.0,0.0,1.0,0.0,0.0,114724,344172,0.3333333333333333,1.1424985181827692,6.586299999980838,8.60980000015843
checkerboard,bsc_sweep,dct,60,repetition,3,bsc,0.001,48.1308036086791,1.0,0.0,1.0,0.0010663273014655463,0.0,114724,344172,0.3333333333333333,1.1424985181827692,6.383599999935541,10.49830000010843
checkerboard,bsc_sweep,dct,60,repetition,3,bsc,0.003,29.4894271428082,73.1370849609375,0.0,0.982421875,0.003132154852806155,4.358285973292423e-05,114724,344172,0.3333333333333333,1.1424985181827692,7.692899999710789,9.018599999762955
checkerboard,bsc_sweep,dct,60,repetition,3,bsc,0.01,19.80688134636056,679.8173217773438,0.001953125,0.9090576171875,0.010087979266180862,0.0002876468742373,114724,344172,0.3333333333333333,1.1424985181827692,10.26929999989079,11.921300000267365
checkerboard,bsc_sweep,dct,60,repetition,3,bsc,0.03,11.098380055230086,5049.429992675781,0.0087890625,0.43927001953125,0.029775809769533836,0.002397057285310833,114724,344172,0.3333333333333333,1.1424985181827692,9.706300000289048,11.996600000202307
